245921	04010 04350 04520 05200 05210 05212 05220
245958	00190 05010 05012 05016
24596	04060
245960	00510
245961	00260
245962	04650
245965	00190 05010 05012 05016
24598	00330 04020 04730 05010 05014 05200 05222
245981	03010
245983	04060 04630 04640
24599	00330 04020 04730 05010 05014 05200 05222
24600	00330 04020 04370 04730 05010 05014 05200 05222
24603	00230 04540 04730
24604	04920
24605	04010 04012 04360 04370 04530 04540 04650 04660 04662 04664 04720 04730 04810 04910 04912 04916 05200 05211 05213 05214 05215 05216 05218 05219 05220 05221 05223
246060	04110
246070	00590 00591 00830 00980 00982
246074	01040 03320
246075	04080
24609	00220 00480
246097	04010 04060 04115 04210 04650 04940 05010 05200 05320 05330 05332
24611	04020 04740
246115	00561 00564 00565 00600
246118	04540
24613	04080
246136	00511
246144	04060 04210 04630 04640
24616	00400
24617	04115 04610
246211	00051 00120 00260 00363 00591 00625 00650
246216	04120
246217	04360
246219	04742
246232	00500 00520
24624	00280 00640
246245	00982
246247	00982
246248	00982
246252	00983
246253	03320 04920 04930
246255	04530
24626	00230
246262	04360
246263	00650
246266	00252 00460 00910
246267	00010 00051 00562
24627	00230
246272	00230 00240
24628	04010 04510 04540 04810 05200 05211 05214 05215 05218
246281	00380
24629	04010 04020 04060 04510 04540 04810 05200 05210 05214 05215 05218
246298	00830
246307	00252 00460 00910
246327	00230 00240 03030
246331	04360
246358	04060
24638	00051
24640	00051
24642	00010
24644	00010
24645	00010 00030 00052 00500
24646	02010
24648	04610
24649	04630 05221
24651	00010 00230 00620 04910 04930 04950
24653	00564 00565 00590 00591 00592 04010 04370 04664 04730 04912
24654	00562 04020 04070 04310 04540 04720 04730 04912 04916 05010 05016
24655	00562 04020 04070
24661	00350
24664	04916 04920
24666	04010
24667	04010
24668	04510 04720 04810 04910
24669	04510 04720 04810 04910
24672	04310 04350 04530 04730
24673	04310 04350 04530 04730
24674	04010 04020 04210 04310 04360 04370 04650 04660 04662 04720 05010 05014
24675	04010 04020 04210 04310 04360 04370 04650 04660 04662 04720 05010 05014
246756	04210 04920
246758	00230
246766	00601
246770	03022
246775	04060 04210 04650
246781	04010
24679	04210 04910
24680	04010 04012 04020 04070 04310 04370 04510 04530 04540 04650 04664 04670 04720 04730 04912 04916 05200 05214 05223
24681	04010 04012 04020 04070 04310 04370 04510 04530 04540 04650 04664 04670 04720 04730 04916 05200 05214 05223
24683	04060 04080 04630
24684	04060 04080 04630
24688	05014
24689	00030 00230
24691	04080
24693	00590
24697	04520 04910
24699	04514 04660 05340
24701	00500 04910
24703	04010 04012 04370 04510 04540 04650 04664 04720 04730 04810 04910 04912 04916 05200 05210 05211 05212 05213 05214 05215 05218 05219 05220 05221 05223
24705	05200 05221
24706	05200 05222 05223
24708	04110 05200 05212 05214 05215 05218 05219 05220 05222 05223
24715	04614
24716	05200 05216
24718	04510 04512
24737	04514 04612 04940 05320 05330 05332
24747	04514 04612 04940 05320 05330 05332
24748	04514 04612 04940 05320 05330 05332
24750	04514 04612 04940 05320 05330 05332
24751	04514 04612 04940 05320 05330 05332
24763	00650
24767	04742
24768	04742
24770	04060
24771	04512 04514
24772	04060 04360 04670
24778	04920 05200 05211
24782	04810
24786	05014 05016
24787	05016
24788	00051
24790	04350 05016
24792	00252 00260
24796	04514
